address,city,country,keys,latitude,longitude,name,postalCode,province,websites
1551 Gulf Shores Pkwy,Gulf Shores,US,us/al/gulfshores/1551gulfshorespkwy/93075755,30.266621,-87.689042,Arby's,36542,AL,"http://www.arbys.com,http://locations.arbys.com/us/al/gulf-shores/1551-gulf-shores-pkwy.html"
1165 S McKenzie St,Foley,US,us/al/foley/1165smckenziest/-864103396,30.39366,-87.68278,Taco Bell,36535,AL,"http://www.tacobell.com,https://locations.tacobell.com/al/foley/1165-south-mckenzie-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=023767andutm_content=website"
105 River Square Plz,Bessemer,US,us/al/bessemer/105riversquareplz/93075755,33.45148,-86.98399,Arby's,35023,AL,"http://www.arbys.com,https://locations.arbys.com/us/al/hueytown/105-river-square-plz.html,http://locations.arbys.com/us/al/hueytown/105-river-square-plz.html"
3069 Allison Bonnett Memorial Dr,Bessemer,US,us/al/bessemer/3069allisonbonnettmemorialdr/-1161002137,33.450315,-86.984261,McDonalds,35023,AL,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
3040 Allison Bonnett Memorial Dr,Bessemer,US,us/al/bessemer/3040allisonbonnettmemorialdr/1780593795,33.45102,-86.98081,SONIC Drive In,35023,AL,https://locations.sonicdrivein.com/al/hueytown/3040-allison-bonnett-mem-dr.html
3067 Allison Bonnett Memorial Dr,Bessemer,US,us/al/bessemer/3067allisonbonnettmemorialdr/-1560457549,33.45022,-86.98517,Captain D's,35023,AL,https://locations.captainds.com/al/hueytown/3067-allison-bonnett-memorial-dr.html
7701 Airport Boulevard,Mobile,US,us/al/mobile/7701airportboulevard/-2061630068,30.68396,-88.22206,Burger King,36608,AL,
3117 S McKenzie St,Foley,US,us/al/foley/3117smckenziest/-448666054,30.3685,-87.6834,Five Guys,36535,AL,http://fiveguys.com
7775 Moffett Rd,Mobile,US,us/al/mobile/7775moffettrd/-2061630068,30.76113,-88.22429,Burger King,36618,AL,http://www.bk.com
2415 Schillinger Rd South,Mobile,US,us/al/mobile/2415schillingerrdsouth/-1161002137,30.6409,-88.2241,Mcdonald's,36695,AL,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
2545 Cong W L Dickinson Dr,Montgomery,US,us/al/montgomery/2545congwldickinsondr/-791445730,32.4185,-86.2327,Wendy's,36109,AL,http://www.wendys.com
2280 7th Street South,Clanton,US,us/al/clanton/22807thstreetsouth/1832448210,32.8009,-86.5746,Whataburger,35045,AL,"https://locations.whataburger.com/al/clanton/2280-7th-street-south.html/,https://locations.whataburger.com/al/clanton/2280-7th-street-south.html/?utm_source=yextpages&utm_medium=locallistings&utm_campaign=yextpages"
2203 Ross Clark Cir,Dothan,US,us/al/dothan/2203rossclarkcir/-2061630068,31.19025,-85.40306,Burger King,36301,AL,"http://www.bk.com,https://locations.bk.com/al/dothan/2203-ross-clark-circle-s-w.html"
2794 Ross Clark Circle,Dothan,US,us/al/dothan/2794rossclarkcircle/1241037051,31.212805,-85.428003,Bojangles' Famous Chicken 'n Biscuits,36301,AL,"http://www.bojangles.com,http://locations.bojangles.com/al/dothan/2794-ross-clark-circle.html"
2100 Ross Clark Cir,Dothan,US,us/al/dothan/2100rossclarkcir/-791445730,31.1908,-85.3979,Wendy's,36301,AL,http://www.wendys.com
3056 Ross Clark Cir,Dothan,US,us/al/dothan/3056rossclarkcir/-864103396,31.225377,-85.431699,Taco Bell,36301,AL,"http://www.tacobell.com,https://locations.tacobell.com/al/dothan/3056-ross-clark-cir.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=003942andutm_content=website,https://locations.tacobell.com/al/dothan/3056-ross-clark-cir.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=003942&utm_content=website"
3430 S Oates St,Dothan,US,us/al/dothan/3430soatesst/93075755,31.17676,-85.40265,Arby's,36301,AL,"https://locations.arbys.com/us/al/dothan/3430-s-oates-st.html,http://www.arbys.com,http://locations.arbys.com/us/al/dothan/3430-s-oates-st.html"
4037 West Main St,Dothan,US,us/al/dothan/4037westmainst/93075755,31.233344,-85.452478,Arby's,36303,AL,http://www.arbys.com
1880 McFarland Blvd,Northport,US,us/al/northport/1880mcfarlandblvd/-864103396,33.239588,-87.576103,Taco Bell,35476,AL,"http://www.tacobell.com,https://locations.tacobell.com/al/northport/1880-mcfarland-blvd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029115andutm_content=website,https://locations.tacobell.com/al/northport/1880-mcfarland-blvd.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=029115&utm_content=website"
2130 Quintard Ave,Anniston,US,us/al/anniston/2130quintardave/-864103396,33.672574,-85.827124,Taco Bell,36201,AL,"http://www.tacobell.com,https://locations.tacobell.com/al/anniston/2130-quintard-ave.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029148andutm_content=website,https://locations.tacobell.com/al/anniston/2130-quintard-ave.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=029148&utm_content=website,https://locations.tacobell.com/al/anniston/2130-quintard-ave.html?utm_source= yextandutm_campaign=yextpowerlistings andutm_medium=referralandutm_term=029148andutm_content=website"
39 Horse Creek Blvd,Dora,US,us/al/dora/39horsecreekblvd/-864103396,33.757142,-87.064476,Taco Bell,35062,AL,"http://www.tacobell.com,https://locations.tacobell.com/al/dora/39-horse-creek-blvd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029126andutm_content=website,https://locations.tacobell.com/al/dora/39-horse-creek-blvd.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=029126&utm_content=website"
910 S McKenzie St,Foley,US,us/al/foley/910smckenziest/-2061630068,30.39611,-87.6839,Burger King,36535,AL,"http://www.bk.com,https://locations.bk.com/al/foley/910-south-mc-kenzie-st.html"
620 McMeans Ave,Bay Minette,US,us/al/bayminette/620mcmeansave/93075755,30.88411,-87.78761,Arby's,36507,AL,"http://www.arbys.com,https://locations.arbys.com/us/al/bay-minette/620-mcmeans-ave.html,http://locations.arbys.com/us/al/bay-minette/620-mcmeans-ave.html"
2400 S McKenzie St,Foley,US,us/al/foley/2400smckenziest/-442344130,30.380781,-87.683894,Krystal,36535,AL,"http://t.co/3VQiWtMxPf,http://www.krystal.com/locations/alabama/foley-south-mckenzie,http://www.krystal.com/locations/alabama/foley-south-mckenzie/"
621 Mcmeans Ave,Bay Minette,US,us/al/bayminette/621mcmeansave/-864103396,30.88406,-87.78817,Taco Bell,36507,AL,"https://locations.tacobell.com/al/bay-minette/621-mcmeans-ave.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=023772andutm_content=website,http://www.tacobell.com,https://locations.tacobell.com/al/bay-minette/621-mcmeans-ave.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=023772&utm_content=website"
3013 S Mckenzie St,Foley,US,us/al/foley/3013smckenziest/-345832572,30.369058,-87.683065,Chick-fil-A,36535,AL,"http://www.chick-fil-a.com/foley,http://www.chick-fil-a.com"
3064 Warrior River Road,Bessemer,US,us/al/bessemer/3064warriorriverroad/-864103396,33.450731,-86.98456,Taco Bell,35023,AL,"http://www.tacobell.com,https://locations.tacobell.com/al/hueytown/3064-warrior-river-road.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=029141&utm_content=website"
1690 Highway 72 E,Huntsville,US,us/al/huntsville/1690highway72e/106088,34.7733,-86.5338,KFC,35811,AL,
2600 N Memorial Pky,Huntsville,US,us/al/huntsville/2600nmemorialpky/-1161002137,34.758,-86.5919,McDonald's,35810,AL,"http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
619 W Main St,Dothan,US,us/al/dothan/619wmainst/-1161002137,31.225233,-85.40032,McDonald's,36301,AL,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
2101 Ross Clark Cir,Dothan,US,us/al/dothan/2101rossclarkcir/-1161002137,31.18925,-85.39791,McDonald's,36301,AL,"http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
1003 Quintard Dr,Oxford,US,us/al/oxford/1003quintarddr/-2061630068,33.60864,-85.828,Burger King,36203,AL,"http://www.bk.com,https://locations.bk.com/al/oxford/1003-highway-21-south.html"
5401 Atlanta Hwy,Montgomery,US,us/al/montgomery/5401atlantahwy/696490760,32.38195,-86.2136,Hardee's,36109,AL,http://www.hardees.com
1115 Coliseum Blvd,Montgomery,US,us/al/montgomery/1115coliseumblvd/696490760,32.40602,-86.26585,Hardee's,36110,AL,http://www.hardees.com
3921 McFarland Blvd,Northport,US,us/al/northport/3921mcfarlandblvd/1241037051,33.23827,-87.59659,Bojangles' Famous Chicken 'n Biscuits,35476,AL,"http://www.bojangles.com,https://locations.bojangles.com/al/northport/3921-mcfarland-blvd.html,http://locations.bojangles.com/al/northport/3921-mcfarland-blvd.html"
6601 Highway 69 South,Tuscaloosa,US,us/al/tuscaloosa/6601highway69south/1241037051,33.1479,-87.543967,Bojangles' Famous Chicken 'n Biscuits,35405,AL,http://www.bojangles.com
